songId,title,artist,bpm,category,imageName,isNew,isLocked,searchAcronyms,sheetType,difficulty,level,internalLevelValue,noteDesigner,noteTap,noteHold,noteSlide,noteTouch,noteBreak,noteTotal,regionJp,regionIntl,regionUsa,regionCn,isSpecial,version,internalId,releaseDate
80,City Escape: Act1,Cash Cash「ソニック ジェネレーションズ」,130,其他游戏,,false,,,std,advanced,6,6.2,-,181,8,10,,11,210,,,,,,maimai,80,
80,City Escape: Act1,Cash Cash「ソニック ジェネレーションズ」,130,其他游戏,,false,,,std,expert,9+,9.7,ニャイン,246,63,12,,10,331,,,,,,maimai,80,
80,City Escape: Act1,Cash Cash「ソニック ジェネレーションズ」,130,其他游戏,,false,,,std,master,12+,12.7,mai-Star,438,10,35,,29,512,,,,,,maimai,80,
80,City Escape: Act1,Cash Cash「ソニック ジェネレーションズ」,130,其他游戏,,false,,,std,remaster,12+,12.7,rioN,428,8,129,,24,589,,,,,,maimai,80,
81,Rooftop Run: Act1,大谷智哉「ソニック ジェネレーションズ」,152,其他游戏,,false,,,std,basic,5,5,-,126,17,0,,3,146,,,,,,maimai,81,
81,Rooftop Run: Act1,大谷智哉「ソニック ジェネレーションズ」,152,其他游戏,,false,,,std,advanced,7,7.4,-,225,30,2,,6,263,,,,,,maimai,81,
81,Rooftop Run: Act1,大谷智哉「ソニック ジェネレーションズ」,152,其他游戏,,false,,,std,expert,11+,11.7,譜面-100号,285,86,11,,2,384,,,,,,maimai,81,
81,Rooftop Run: Act1,大谷智哉「ソニック ジェネレーションズ」,152,其他游戏,,false,,,std,master,12,12.4,ニャイン,348,81,21,,7,457,,,,,,maimai,81,
81,Rooftop Run: Act1,大谷智哉「ソニック ジェネレーションズ」,152,其他游戏,,false,,,std,remaster,13,13.2,Techno Kitchen,414,116,78,,15,623,,,,,,maimai,81,
82,Reach For The Stars,"大谷智哉, Jean Paul Makhlouf of Cash Cash「ソニック カラーズ」",203,其他游戏,,false,,,std,basic,5,5,-,68,21,7,,1,97,,,,,,maimai,82,
82,Reach For The Stars,"大谷智哉, Jean Paul Makhlouf of Cash Cash「ソニック カラーズ」",203,其他游戏,,false,,,std,advanced,8+,8.6,-,203,20,5,,13,241,,,,,,maimai,82,
82,Reach For The Stars,"大谷智哉, Jean Paul Makhlouf of Cash Cash「ソニック カラーズ」",203,其他游戏,,false,,,std,expert,10+,10.9,譜面-100号,274,61,26,,34,395,,,,,,maimai,82,
82,Reach For The Stars,"大谷智哉, Jean Paul Makhlouf of Cash Cash「ソニック カラーズ」",203,其他游戏,,false,,,std,master,13+,13.9,チャン@DP皆伝,456,29,50,,14,549,,,,,,maimai,82,
83,Urban Crusher [Remix],「BORDER BREAK」,155,其他游戏,,false,,,std,basic,6,6,-,104,14,8,,4,130,,,,,,maimai,83,
83,Urban Crusher [Remix],「BORDER BREAK」,155,其他游戏,,false,,,std,advanced,9,9.1,-,260,15,4,,4,283,,,,,,maimai,83,
83,Urban Crusher [Remix],「BORDER BREAK」,155,其他游戏,,false,,,std,expert,12+,12.7,譜面-100号,390,33,10,,13,446,,,,,,maimai,83,
83,Urban Crusher [Remix],「BORDER BREAK」,155,其他游戏,,false,,,std,master,13,13.4,ニャイン,396,46,25,,9,476,,,,,,maimai,83,
