id,title,artist,bpm,category,version,releaseDate,isNew,isLocked,sheetCount,dxdata,divingFish,maichart
101,おちゃめ機能,supercell「化物語」,181,POPS＆アニメ,maimai,,false,false,8,true,true,true
102,ダンシング☆サムライ,supercell「化物語」,181,POPS＆アニメ,maimai,,false,false,8,true,true,true
106,BAD∞END∞NIGHT,ひとしずくP・やま△,204,niconico＆ボーカロイド,maimai PLUS,,false,false,8,true,true,true
107,ロミオとシンデレラ,supercell「化物語」,181,POPS＆アニメ,maimai,,false,false,8,true,true,true
108,Sweetiex2,Dixie Flatline,125,niconico＆ボーカロイド,maimai PLUS,,false,false,4,true,true,true
109,腐れ外道とチョコレゐト,supercell「化物語」,181,POPS＆アニメ,maimai,,false,false,8,true,true,true
110,Quartet Theme [Reborn],COSIO(ZUNTATA/TAITO)「カルテット」,137,ゲーム＆バラエティ,maimai PLUS,,false,false,4,true,true,true
111,Sky High [Reborn],大久保 博(BNGI)「デイトナ USA」,144,ゲーム＆バラエティ,maimai PLUS,,false,false,5,true,true,true
112,Like the Wind [Reborn],sampling masters MEGA「パワードリフト」,200,ゲーム＆バラエティ,maimai PLUS,,false,false,4,true,true,true
113,YA･DA･YO [Reborn],古代 祐三「ファンタジーゾーン」,105,ゲーム＆バラエティ,maimai PLUS,,false,false,5,true,true,true
114,Space Harrier Main Theme [Reborn],佐野 信義「スペースハリアー」,125,ゲーム＆バラエティ,maimai PLUS,,false,false,4,true,true,true
115,DADDY MULK -Groove remix-,Performed by SEGA Sound Unit [H.],154,ゲーム＆バラエティ,maimai GreeN,,false,false,5,true,true,true
116,ぴぴぱぷぅ！,supercell「化物語」,181,POPS＆アニメ,maimai,,false,false,8,true,true,true
117,炎歌 -ほむらうた-,Hiro/森山愛子,108,maimai,maimai PLUS,,false,false,8,true,true,true
118,犬日和。,supercell「化物語」,181,POPS＆アニメ,maimai,,false,false,8,true,true,true
119,ソーラン☆節,supercell「化物語」,181,POPS＆アニメ,maimai,,false,false,8,true,true,true
120,デコボコ体操第二,supercell「化物語」,181,POPS＆アニメ,maimai,,false,false,8,true,true,true
121,スイートマジック,supercell「化物語」,181,POPS＆アニメ,maimai,,false,false,8,true,true,true
122,ゴーゴー幽霊船,supercell「化物語」,181,POPS＆アニメ,maimai,,false,false,8,true,true,true
125,千本桜,supercell「化物語」,181,POPS＆アニメ,maimai,,false,false,8,true,true,true
126,つけまつける,supercell「化物語」,181,POPS＆アニメ,maimai,,false,false,8,true,true,true
127,Get Off of My Way,MAN WITH A MISSION［PV］,135,POPS＆アニメ,,,false,false,4,true,false,true
128,御旗のもとに,supercell「化物語」,181,POPS＆アニメ,maimai,,false,false,8,true,true,true
130,FEEL ALIVE,ELEMENTAS feat. NAGISA,162,maimai,maimai PLUS,,false,false,4,true,true,true
131,Link,Clean Tears feat. Youna,132,maimai,maimai PLUS,,false,false,5,true,true,true
132,Turn around,Clean Tears,156,maimai,maimai PLUS,,false,false,4,true,true,true
133,We Gonna Party,Cranky,159,maimai,maimai PLUS,,false,false,5,true,true,true
134,Night Fly,発熱巫女～ず,127,maimai,maimai PLUS,,false,false,5,true,true,true
135,Feel My Fire,発熱巫女～ず,123,maimai,maimai PLUS,,false,false,4,true,true,true
136,Streak,ARM(IOSYS),150,maimai,maimai PLUS,,false,false,4,true,true,true
137,Spin me harder,D.watt(IOSYS)feat. Asana,130,maimai,maimai PLUS,,false,false,4,true,true,true
138,Lionheart,Masayoshi Minoshima,132,maimai,maimai PLUS,,false,false,4,true,true,true
139,Acceleration,REDALiCE,180,maimai,maimai PLUS,,false,false,4,true,true,true
140,Sprintrances,Taishi,178,maimai,maimai PLUS,,false,false,4,true,true,true
141,Nerverakes,Taishi,140,maimai,maimai PLUS,,false,false,4,true,true,true
142,Black Out,Tsukasa(Arte Refact),142,maimai,maimai PLUS,,false,false,4,true,true,true
143,Fragrance,Tsukasa(Arte Refact),180,maimai,maimai PLUS,,false,false,5,true,true,true
144,air's gravity,zts,137,maimai,maimai PLUS,,false,false,5,true,true,true
145,Starlight Disco,loos feat. Meramipop,128,maimai,maimai PLUS,,false,false,9,true,true,true
146,39,sasakure.UK x DECO*27,175,niconico＆ボーカロイド,maimai PLUS,,false,false,9,true,true,true
147,地上の戦士,supercell「化物語」,181,POPS＆アニメ,maimai,,false,false,8,true,true,true
148,サブリナ,supercell「化物語」,181,POPS＆アニメ,maimai,,false,false,8,true,true,true
149,SPELL MAGIC,Acid Black Cherry［PV］,180,POPS＆アニメ,,,false,false,4,true,false,true
152,超絶！Superlative,Keitarou Hanada「戦国大戦」,200,ゲーム＆バラエティ,maimai PLUS,,false,false,4,true,true,true
153,采配の刻 Power of order,Keitarou Hanada「戦国大戦」,185,ゲーム＆バラエティ,maimai PLUS,,false,false,4,true,true,true
154,DO RORO DERODERO ON DO RORO,怒髪天「百鬼大戦絵巻」,190,ゲーム＆バラエティ,maimai PLUS,,false,false,4,true,true,true
155,泣き虫O'clock,Hiro/友香,152,maimai,maimai PLUS,,false,false,5,true,true,true
157,Natural Flow,KENTARO「Crackin’DJ」,100,ゲーム＆バラエティ,maimai PLUS,,false,false,4,true,true,true
159,maimaiちゃんのテーマ,YMCK,136,maimai,maimai PLUS,,false,false,4,true,true,true
161,CANDY CANDY,きゃりーぱみゅぱみゅ［PV］,130,POPS＆アニメ,,,false,false,4,true,false,true
164,READY STEADY GO,L'Arc~en~Ciel［cover］,144,POPS＆アニメ,,,false,false,4,true,false,true
165,リライト,supercell「化物語」,181,POPS＆アニメ,maimai,,false,false,8,true,true,true
166,カルマ,supercell「化物語」,181,POPS＆アニメ,maimai,,false,false,8,true,true,true
167,GO!!!,FLOW「NARUTO」［cover］,134,POPS＆アニメ,,,false,false,4,true,false,true
168,LOVEドッきゅん♥,club prince［cover］,149,POPS＆アニメ,,,false,false,4,true,false,true
169,galaxias!,galaxias!［PV］,123,niconico＆ボーカロイド,,,false,false,4,true,false,true
172,女々しくて,supercell「化物語」,181,POPS＆アニメ,maimai,,false,false,8,true,true,true
173,サラバ、愛しき悲しみたちよ,supercell「化物語」,181,POPS＆アニメ,maimai,,false,false,8,true,true,true
174,創聖のアクエリオン,supercell「化物語」,181,POPS＆アニメ,maimai,,false,false,8,true,true,true
176,Butter-Fly,和田光司［cover］,165,POPS＆アニメ,,,false,false,4,true,false,true
181,君の知らない物語,supercell「化物語」,181,POPS＆アニメ,maimai,,false,false,8,true,true,true
182,残酷な天使のテーゼ,supercell「化物語」,181,POPS＆アニメ,maimai,,false,false,8,true,true,true
184,I ♥,Junky,132,niconico＆ボーカロイド,maimai GreeN,,false,false,4,true,true,true
185,＊ハロー、プラネット。,supercell「化物語」,181,POPS＆アニメ,maimai,,false,false,8,true,true,true
186,イアイア★ナイトオブデザイア,supercell「化物語」,181,POPS＆アニメ,maimai,,false,false,8,true,true,true
187,ローリンガール,supercell「化物語」,181,POPS＆アニメ,maimai,,false,false,8,true,true,true
188,天ノ弱,supercell「化物語」,181,POPS＆アニメ,maimai,,false,false,8,true,true,true
189,弱虫モンブラン,supercell「化物語」,181,POPS＆アニメ,maimai,,false,false,8,true,true,true
190,モザイクロール,supercell「化物語」,181,POPS＆アニメ,maimai,,false,false,8,true,true,true
191,脳漿炸裂ガール,supercell「化物語」,181,POPS＆アニメ,maimai,,false,false,8,true,true,true
